dataset,variant,ir,seed,classifier,auprc,auroc,f1,balanced_acc
S1,GMR-Bidirectional,5,3,XGB,0.5863264159295059,0.8305357142857143,0.5679012345679012,0.7338095238095239
S1,GMR-Bidirectional,10,42,KNN,0.59950428878356,0.901176705225369,0.6382978723404256,0.8054447546868768
S1,GMR-Bidirectional,10,42,RF,0.5915352713230476,0.8888113282808138,0.5581395348837209,0.7425209413641802
S1,GMR-Bidirectional,10,42,LR,0.12036474868098145,0.6371160749900279,0.22580645161290322,0.6048065416832868
S1,GMR-Bidirectional,10,42,DT,0.3416922244272055,0.7722377343438372,0.5490196078431373,0.7722377343438374
S1,GMR-Bidirectional,10,42,XGB,0.6206873604323957,0.8930993218986837,0.5,0.7310530514559235
S1,GMR-Bidirectional,10,0,KNN,0.2797530991469292,0.8013562026326286,0.23529411764705882,0.5709014758675708
S1,GMR-Bidirectional,10,0,RF,0.38841734743394374,0.8828280813721578,0.2702702702702703,0.5880534503390507
S1,GMR-Bidirectional,10,0,LR,0.11970248874754236,0.6368169126445952,0.2537313432835821,0.6539688871160749
S1,GMR-Bidirectional,10,0,DT,0.16783931685609477,0.620063821300359,0.3181818181818182,0.6200638213003591
S1,GMR-Bidirectional,10,0,XGB,0.35581401647367755,0.8821300358994816,0.25,0.5811727163940965
S1,GMR-Bidirectional,10,1,KNN,0.26294781330442285,0.799561228560032,0.2608695652173913,0.5914439569206222
S1,GMR-Bidirectional,10,1,RF,0.28102348775290126,0.7842042281611487,0.2857142857142857,0.6006182688472278
S1,GMR-Bidirectional,10,1,LR,0.1303144186166271,0.6651376146788991,0.26666666666666666,0.6620462704427603
S1,GMR-Bidirectional,10,1,DT,0.14529503344224615,0.6063023534104508,0.28,0.6063023534104508
S1,GMR-Bidirectional,10,1,XGB,0.28417931519276124,0.7664539289988033,0.23809523809523808,0.5765855604307938
S1,GMR-Bidirectional,10,2,KNN,0.27195585177047354,0.7466094934184285,0.4,0.6532708416433985
S1,GMR-Bidirectional,10,2,RF,0.3444614212199709,0.8346629437574791,0.3333333333333333,0.6246509772636617
S1,GMR-Bidirectional,10,2,LR,0.1200131768152701,0.62554846429996,0.26356589147286824,0.6654367770243319
S1,GMR-Bidirectional,10,2,DT,0.19896085152444526,0.6589549262066214,0.375,0.6589549262066214
S1,GMR-Bidirectional,10,2,XGB,0.2955033738740821,0.7772237734343838,0.4444444444444444,0.6898683685680096
S1,GMR-Bidirectional,10,3,KNN,0.30953294500252726,0.7284603111288391,0.4,0.6407060231352214
S1,GMR-Bidirectional,10,3,RF,0.35980374689100453,0.8055444754686877,0.3333333333333333,0.614379736737136
S1,GMR-Bidirectional,10,3,LR,0.1161413392502877,0.6234543278819307,0.2714285714285714,0.6882728360590347
S1,GMR-Bidirectional,10,3,DT,0.2257931496610912,0.666733147187874,0.4,0.6658356601515756
S1,GMR-Bidirectional,10,3,XGB,0.4004685925720831,0.76396090945353,0.358974358974359,0.6315317112086158
S1,GMR-Bidirectional,20,42,KNN,0.3623767311526647,0.7858442503639009,0.375,0.6228165938864629
S1,GMR-Bidirectional,20,42,RF,0.4057200630633888,0.8218704512372637,0.35294117647058826,0.6206331877729258
S1,GMR-Bidirectional,20,42,LR,0.06919133017887519,0.6390101892285298,0.15384615384615385,0.6499272197962154
S1,GMR-Bidirectional,20,42,DT,0.1665283540802213,0.653566229985444,0.36363636363636365,0.653566229985444
S1,GMR-Bidirectional,20,42,XGB,0.4630658723504309,0.8442503639010189,0.4,0.6579330422125181
S1,GMR-Bidirectional,20,0,KNN,0.30548639926233284,0.779475982532751,0.4444444444444444,0.6622998544395924
S1,GMR-Bidirectional,20,0,RF,0.3536161236717938,0.9024745269286754,0.25,0.5789665211062591
S1,GMR-Bidirectional,20,0,LR,0.061718147882819444,0.5949781659388647,0.09433962264150944,0.5140101892285298
S1,GMR-Bidirectional,20,0,DT,0.07482710926694329,0.5658660844250364,0.18181818181818182,0.5658660844250364
S1,GMR-Bidirectional,20,0,XGB,0.4523143327321325,0.9323144104803494,0.23529411764705882,0.576783114992722
S1,GMR-Bidirectional,20,1,KNN,0.11606734937830862,0.6613901018922852,0.21052631578947367,0.5724163027656477
S1,GMR-Bidirectional,20,1,RF,0.1462702374031979,0.6852256186317323,0.19047619047619047,0.5680494905385736
S1,GMR-Bidirectional,20,1,LR,0.06924760980526781,0.6421033478893741,0.14814814814814814,0.6411935953420669
S1,GMR-Bidirectional,20,1,DT,0.08734439834024896,0.5987991266375545,0.2222222222222222,0.5987991266375545
S1,GMR-Bidirectional,20,1,XGB,0.1358516974625222,0.6890465793304221,0.09090909090909091,0.5220160116448326
S1,GMR-Bidirectional,20,2,KNN,0.28229089951081654,0.7494541484716158,0.3333333333333333,0.6184497816593886
S1,GMR-Bidirectional,20,2,RF,0.2656791042290173,0.7789301310043668,0.21052631578947367,0.5724163027656477
S1,GMR-Bidirectional,20,2,LR,0.0609699942571275,0.5887918486171762,0.11764705882352941,0.5665938864628821
S1,GMR-Bidirectional,20,2,DT,0.06927155371138774,0.5614992721979621,0.16666666666666666,0.5614992721979621
S1,GMR-Bidirectional,20,2,XGB,0.26428636945279327,0.8014919941775837,0.2727272727272727,0.6097161572052402
S1,GMR-Bidirectional,20,3,KNN,0.35878310255903617,0.7785662299854439,0.3333333333333333,0.6184497816593886
S1,GMR-Bidirectional,20,3,RF,0.2940049514139693,0.7991266375545851,0.38095238095238093,0.6557496360989811
S1,GMR-Bidirectional,20,3,LR,0.04938615116556075,0.4989082969432314,0.08823529411764706,0.4923580786026201
S1,GMR-Bidirectional,20,3,DT,0.23565916866855935,0.7654657933042213,0.45161290322580644,0.7654657933042213
S1,GMR-Bidirectional,20,3,XGB,0.28376667513564985,0.8879184861717612,0.38095238095238093,0.6557496360989811
S1,GMR-Bidirectional,50,42,KNN,0.02619047619047619,0.5570212765957447,0.0,0.5
S1,GMR-Bidirectional,50,42,RF,0.04583333333333334,0.6165957446808511,0.0,0.5
S1,GMR-Bidirectional,50,42,LR,0.03522310319968751,0.6536170212765958,0.07476635514018691,0.6914893617021276
S1,GMR-Bidirectional,50,42,DT,0.020833333333333332,0.49361702127659574,0.0,0.49361702127659574
S1,GMR-Bidirectional,50,42,XGB,0.08864847104636406,0.7553191489361701,0.0,0.5
S1,GMR-Bidirectional,50,0,KNN,0.400530303030303,0.88,0.0,0.4978723404255319
S1,GMR-Bidirectional,50,0,RF,0.32390522875816996,0.8506382978723405,0.3333333333333333,0.6
S1,GMR-Bidirectional,50,0,LR,0.028989323988191956,0.5940425531914894,0.039603960396039604,0.5
S1,GMR-Bidirectional,50,0,DT,0.05666666666666667,0.5914893617021276,0.2,0.5914893617021276
S1,GMR-Bidirectional,50,0,XGB,0.43265873015873013,0.8629787234042553,0.3333333333333333,0.6
S1,GMR-Bidirectional,50,1,KNN,0.12717391304347825,0.7629787234042553,0.0,0.4978723404255319
S1,GMR-Bidirectional,50,1,RF,0.2686969696969697,0.7425531914893617,0.3333333333333333,0.6
S1,GMR-Bidirectional,50,1,LR,0.027592043952003507,0.5774468085106383,0.05042016806722689,0.5638297872340425
S1,GMR-Bidirectional,50,1,DT,0.05666666666666667,0.5914893617021276,0.2,0.5914893617021276
S1,GMR-Bidirectional,50,1,XGB,0.289151349292556,0.7702127659574468,0.25,0.5957446808510638
S1,GMR-Bidirectional,50,2,KNN,0.05694444444444444,0.6642553191489361,0.0,0.5
S1,GMR-Bidirectional,50,2,RF,0.08955862977602108,0.7131914893617022,0.0,0.5
S1,GMR-Bidirectional,50,2,LR,0.026347281292760108,0.5429787234042553,0.057692307692307696,0.5957446808510638
S1,GMR-Bidirectional,50,2,DT,0.06666666666666667,0.5936170212765958,0.2222222222222222,0.5936170212765958
S1,GMR-Bidirectional,50,2,XGB,0.16494044433323374,0.6693617021276596,0.0,0.5
S1,GMR-Bidirectional,50,3,KNN,0.14305555555555555,0.8557446808510638,0.0,0.5
S1,GMR-Bidirectional,50,3,RF,0.3117948717948718,0.9663829787234043,0.0,0.4978723404255319
S1,GMR-Bidirectional,50,3,LR,0.03092828098276225,0.6127659574468085,0.07207207207207207,0.6829787234042554
S1,GMR-Bidirectional,50,3,DT,0.05,0.5893617021276595,0.18181818181818182,0.5893617021276596
S1,GMR-Bidirectional,50,3,XGB,0.1894645705172021,0.948936170212766,0.0,0.4957446808510638
S1,GMR-DataGated,5,42,KNN,0.46095113364845675,0.7726190476190476,0.5,0.7019047619047619
S1,GMR-DataGated,5,42,RF,0.5318776224100972,0.8120238095238095,0.5411764705882353,0.7238095238095239
S1,GMR-DataGated,5,42,LR,0.2008238025969794,0.6195238095238095,0.3611111111111111,0.6195238095238096
S1,GMR-DataGated,5,42,DT,0.3584065765883948,0.7188095238095238,0.5287356321839081,0.7188095238095238
S1,GMR-DataGated,5,42,XGB,0.5528863211026644,0.8398214285714286,0.5747126436781609,0.7476190476190476
S1,GMR-DataGated,5,0,KNN,0.4786468942313098,0.8151785714285714,0.6046511627906976,0.7645238095238096
S1,GMR-DataGated,5,0,RF,0.5761733159360809,0.8583928571428572,0.5581395348837209,0.7357142857142858
S1,GMR-DataGated,5,0,LR,0.2009447834477546,0.6217857142857143,0.3188405797101449,0.5769047619047619
S1,GMR-DataGated,5,0,DT,0.4393126636209641,0.7739285714285715,0.6136363636363636,0.7739285714285715
S1,GMR-DataGated,5,0,XGB,0.5697423583812995,0.8525,0.5783132530120482,0.7432142857142857
S1,GMR-DataGated,5,1,KNN,0.43556107055700444,0.7933333333333333,0.5977011494252874,0.7620238095238095
S1,GMR-DataGated,5,1,RF,0.498179677550155,0.8466071428571429,0.5411764705882353,0.7238095238095239
S1,GMR-DataGated,5,1,LR,0.21820532734782655,0.6623809523809524,0.3835616438356164,0.6433333333333333
S1,GMR-DataGated,5,1,DT,0.341535657325131,0.6930952380952382,0.5,0.6930952380952381
S1,GMR-DataGated,5,1,XGB,0.5637645963368377,0.8351785714285714,0.5185185185185185,0.7050000000000001
S1,GMR-DataGated,5,2,KNN,0.3997920149986503,0.7602976190476189,0.5176470588235295,0.7094047619047619
S1,GMR-DataGated,5,2,RF,0.4131751737218575,0.7717261904761905,0.5238095238095238,0.7119047619047619
S1,GMR-DataGated,5,2,LR,0.21645935075318146,0.636547619047619,0.39473684210526316,0.6571428571428571
S1,GMR-DataGated,5,2,DT,0.3309629060157601,0.695,0.49411764705882355,0.6950000000000001
S1,GMR-DataGated,5,2,XGB,0.4112961127784445,0.7965476190476191,0.5287356321839081,0.7188095238095238
S1,GMR-DataGated,5,3,KNN,0.5274457234684508,0.799404761904762,0.5866666666666667,0.7344047619047619
S1,GMR-DataGated,5,3,RF,0.6343548520729174,0.85625,0.5609756097560976,0.7313095238095239
S1,GMR-DataGated,5,3,LR,0.18689223941175276,0.582202380952381,0.34177215189873417,0.5989285714285715
S1,GMR-DataGated,5,3,DT,0.38571332584636364,0.7288095238095239,0.5542168674698795,0.7288095238095238
S1,GMR-DataGated,5,3,XGB,0.6299667800535729,0.8539285714285715,0.5542168674698795,0.7288095238095238
S1,GMR-DataGated,10,42,KNN,0.5555709463983721,0.8480255285201436,0.6086956521739131,0.7837056242520941
S1,GMR-DataGated,10,42,RF,0.586220329052473,0.8521140805743919,0.5333333333333333,0.7379337854008776
S1,GMR-DataGated,10,42,LR,0.119204139355533,0.6329278021539688,0.22580645161290322,0.6048065416832868
S1,GMR-DataGated,10,42,DT,0.36510359566466366,0.7768248903071401,0.5714285714285714,0.77682489030714
S1,GMR-DataGated,10,42,XGB,0.5896380177707546,0.8507179896290388,0.6086956521739131,0.7837056242520941
S1,GMR-DataGated,10,0,KNN,0.2724523426894749,0.7890905464698843,0.2222222222222222,0.5663143199042681
S1,GMR-DataGated,10,0,RF,0.3849334245140265,0.8735540486637416,0.3157894736842105,0.6097925807738332
S1,GMR-DataGated,10,0,LR,0.11423524360932803,0.6166733147187874,0.2463768115942029,0.6447945751894695
S1,GMR-DataGated,10,0,DT,0.26098124618781304,0.6921619465496609,0.45454545454545453,0.6921619465496609
S1,GMR-DataGated,10,0,XGB,0.34686680523543156,0.8510171519744715,0.2926829268292683,0.6029118468288791
S1,GMR-DataGated,10,1,KNN,0.22897790857120487,0.7466094934184284,0.2608695652173913,0.5914439569206222
S1,GMR-DataGated,10,1,RF,0.3054957719514031,0.7679497407259673,0.25,0.5811727163940965
S1,GMR-DataGated,10,1,LR,0.12795430231991375,0.6565616274431592,0.24193548387096775,0.6288392500997209
S1,GMR-DataGated,10,1,DT,0.14168566414642544,0.5937375349022737,0.26666666666666666,0.5937375349022737
S1,GMR-DataGated,10,1,XGB,0.3464607431721088,0.7357399282010372,0.32558139534883723,0.6223573992820104
S1,GMR-DataGated,10,2,KNN,0.2589840151629796,0.7297566812923812,0.3902439024390244,0.6509772636617471
S1,GMR-DataGated,10,2,RF,0.2579030919427793,0.7085161547666534,0.32558139534883723,0.6223573992820104
S1,GMR-DataGated,10,2,LR,0.11790282563228333,0.6155763861188672,0.23529411764705882,0.6253490227363383
S1,GMR-DataGated,10,2,DT,0.14507358057782013,0.596031112883925,0.2727272727272727,0.596031112883925
S1,GMR-DataGated,10,2,XGB,0.28942416558749884,0.810729956122856,0.4,0.6658356601515756
S1,GMR-DataGated,10,3,KNN,0.29293676380685124,0.7218787395293179,0.3888888888888889,0.63841244515357
S1,GMR-DataGated,10,3,RF,0.40567750499794464,0.7997606701236538,0.3783783783783784,0.6361188671719187
S1,GMR-DataGated,10,3,LR,0.11707612839688263,0.6268448344635023,0.2753623188405797,0.6928599920223375
S1,GMR-DataGated,10,3,DT,0.18474752941648126,0.6269445552453131,0.34146341463414637,0.6269445552453131
S1,GMR-DataGated,10,3,XGB,0.4034629424989524,0.7573793378540089,0.3157894736842105,0.6097925807738332
S1,GMR-DataGated,20,42,KNN,0.3591188778948115,0.7903930131004366,0.375,0.6228165938864629
S1,GMR-DataGated,20,42,RF,0.40736867309206826,0.8642649199417758,0.375,0.6228165938864629
S1,GMR-DataGated,20,42,LR,0.06864339078348936,0.6375545851528384,0.15384615384615385,0.6499272197962154
S1,GMR-DataGated,20,42,DT,0.2605271246350085,0.6995997088791849,0.47619047619047616,0.6995997088791849
S1,GMR-DataGated,20,42,XGB,0.4866358701306725,0.8795487627365357,0.47619047619047616,0.6995997088791849
S1,GMR-DataGated,20,0,KNN,0.28055080953543243,0.7461790393013101,0.4444444444444444,0.6622998544395924
S1,GMR-DataGated,20,0,RF,0.355643482218949,0.8331513828238719,0.25,0.5789665211062591
S1,GMR-DataGated,20,0,LR,0.06196704668444536,0.5982532751091703,0.09259259259259259,0.5096433770014556
S1,GMR-DataGated,20,0,DT,0.12067773167358228,0.6118995633187774,0.2857142857142857,0.6118995633187774
S1,GMR-DataGated,20,0,XGB,0.36826262287617856,0.8204148471615721,0.3333333333333333,0.6184497816593886
S1,GMR-DataGated,20,1,KNN,0.12339844420940345,0.6808588064046579,0.19047619047619047,0.5680494905385736
S1,GMR-DataGated,20,1,RF,0.17803335282636715,0.7450873362445415,0.17391304347826086,0.5636826783114993
S1,GMR-DataGated,20,1,LR,0.06765287349766966,0.6340975254730714,0.14035087719298245,0.6280931586608443
S1,GMR-DataGated,20,1,DT,0.09091582691167753,0.6009825327510917,0.23076923076923078,0.6009825327510917
S1,GMR-DataGated,20,1,XGB,0.18881424550739453,0.7681950509461426,0.23076923076923078,0.6009825327510917
S1,GMR-DataGated,20,2,KNN,0.1896398553037557,0.7123362445414847,0.23529411764705882,0.576783114992722
S1,GMR-DataGated,20,2,RF,0.23405692829499297,0.7034206695778749,0.13333333333333333,0.5372998544395924
S1,GMR-DataGated,20,2,LR,0.05997768665139343,0.5866084425036391,0.09615384615384616,0.5183770014556041
S1,GMR-DataGated,20,2,DT,0.05321891110272853,0.5198326055312954,0.08695652173913043,0.5198326055312955
S1,GMR-DataGated,20,2,XGB,0.2802139296606432,0.7807496360989811,0.2608695652173913,0.607532751091703
S1,GMR-DataGated,20,3,KNN,0.307751549971467,0.7461790393013101,0.3333333333333333,0.6184497816593886
S1,GMR-DataGated,20,3,RF,0.27777475905069265,0.7676491994177583,0.3,0.6140829694323144
S1,GMR-DataGated,20,3,LR,0.0529666732215327,0.5309315866084425,0.0916030534351145,0.5032751091703056
S1,GMR-DataGated,20,3,DT,0.1165283540802213,0.6404657933042213,0.2857142857142857,0.6404657933042213
S1,GMR-DataGated,20,3,XGB,0.24109077811788557,0.8466157205240175,0.125,0.5351164483260553
S1,GMR-DataGated,50,42,KNN,0.02666666666666667,0.5591489361702127,0.0,0.5
S1,GMR-DataGated,50,42,RF,0.04900793650793651,0.6217021276595744,0.0,0.5
S1,GMR-DataGated,50,42,LR,0.03477659203988777,0.6519148936170213,0.07692307692307693,0.6978723404255319
S1,GMR-DataGated,50,42,DT,0.020833333333333332,0.4957446808510638,0.0,0.4957446808510638
S1,GMR-DataGated,50,42,XGB,0.23696097825298218,0.7097872340425533,0.0,0.5
S1,GMR-DataGated,50,0,KNN,0.4041666666666667,0.8817021276595746,0.0,0.4978723404255319
S1,GMR-DataGated,50,0,RF,0.33719488939740655,0.8561702127659575,0.3333333333333333,0.6
S1,GMR-DataGated,50,0,LR,0.029073440369734145,0.5991489361702128,0.041237113402061855,0.5085106382978724
S1,GMR-DataGated,50,0,DT,0.08333333333333333,0.5957446808510638,0.25,0.5957446808510638
S1,GMR-DataGated,50,0,XGB,0.40278752436647175,0.9123404255319149,0.3333333333333333,0.6
S1,GMR-DataGated,50,1,KNN,0.1381578947368421,0.7697872340425532,0.0,0.4978723404255319
S1,GMR-DataGated,50,1,RF,0.3193514818514819,0.8506382978723405,0.3333333333333333,0.6
S1,GMR-DataGated,50,1,LR,0.021940910335426035,0.46340425531914897,0.04054054054054054,0.502127659574468
S1,GMR-DataGated,50,1,DT,0.05666666666666667,0.5914893617021276,0.2,0.5914893617021276
S1,GMR-DataGated,50,1,XGB,0.2959011164274322,0.9034042553191489,0.2857142857142857,0.597872340425532
S1,GMR-DataGated,50,2,KNN,0.029166666666666667,0.5672340425531915,0.0,0.5
S1,GMR-DataGated,50,2,RF,0.05583333333333333,0.6293617021276595,0.0,0.5
S1,GMR-DataGated,50,2,LR,0.025207721478244703,0.5217021276595745,0.05084745762711865,0.5659574468085107
S1,GMR-DataGated,50,2,DT,0.020833333333333332,0.49148936170212765,0.0,0.49148936170212765
S1,GMR-DataGated,50,2,XGB,0.04276495475187037,0.6012765957446808,0.0,0.5
S1,GMR-DataGated,50,3,KNN,0.09015151515151514,0.7570212765957447,0.0,0.5
S1,GMR-DataGated,50,3,RF,0.45476190476190476,0.9672340425531916,0.0,0.5
S1,GMR-DataGated,50,3,LR,0.02343923525175235,0.4919148936170213,0.057971014492753624,0.625531914893617
S1,GMR-DataGated,50,3,DT,0.020833333333333332,0.4957446808510638,0.0,0.4957446808510638
S1,GMR-DataGated,50,3,XGB,0.2052014652014652,0.9472340425531915,0.0,0.49361702127659574
S1,GMR-ModelAgnostic,5,42,KNN,0.4471281037836019,0.79,0.5168539325842697,0.7138095238095239
S1,GMR-ModelAgnostic,5,42,RF,0.5284195597770159,0.8317857142857142,0.5227272727272727,0.7163095238095238
S1,GMR-ModelAgnostic,5,42,LR,0.20625363832949709,0.6317857142857143,0.3776223776223776,0.6364285714285715
S1,GMR-ModelAgnostic,5,42,DT,0.33811642902551997,0.7157142857142857,0.5106382978723404,0.7157142857142857
S1,GMR-ModelAgnostic,5,42,XGB,0.47341675350808327,0.8141666666666667,0.5555555555555556,0.7401190476190476
S1,GMR-ModelAgnostic,5,0,KNN,0.4909985857717555,0.825297619047619,0.6046511627906976,0.7645238095238096
S1,GMR-ModelAgnostic,5,0,RF,0.5264302765904735,0.8441666666666666,0.5517241379310345,0.7332142857142857
S1,GMR-ModelAgnostic,5,0,LR,0.20095342718577505,0.6216666666666666,0.2962962962962963,0.555595238095238
S1,GMR-ModelAgnostic,5,0,DT,0.4035302520151005,0.7683333333333333,0.5833333333333334,0.7683333333333333
S1,GMR-ModelAgnostic,5,0,XGB,0.521083166148516,0.8447619047619048,0.5882352941176471,0.7526190476190476
S1,GMR-ModelAgnostic,5,1,KNN,0.4417346182526448,0.7919642857142858,0.5813953488372093,0.7501190476190476
S1,GMR-ModelAgnostic,5,1,RF,0.4832839635086065,0.8193452380952382,0.5348837209302325,0.7213095238095238
S1,GMR-ModelAgnostic,5,1,LR,0.2195522112087825,0.6651190476190476,0.38620689655172413,0.6458333333333333
S1,GMR-ModelAgnostic,5,1,DT,0.31766646052360337,0.6830952380952382,0.47619047619047616,0.6830952380952381
S1,GMR-ModelAgnostic,5,1,XGB,0.5352698667616842,0.8289880952380952,0.5617977528089888,0.7426190476190476
S1,GMR-ModelAgnostic,5,2,KNN,0.3975790129993086,0.7594642857142856,0.5176470588235295,0.7094047619047619
S1,GMR-ModelAgnostic,5,2,RF,0.4326660665339539,0.8155357142857143,0.5060240963855421,0.7
S1,GMR-ModelAgnostic,5,2,LR,0.21721387329551156,0.6388095238095237,0.39473684210526316,0.6571428571428571
S1,GMR-ModelAgnostic,5,2,DT,0.2996898483911471,0.6686904761904762,0.4523809523809524,0.6686904761904762
S1,GMR-ModelAgnostic,5,2,XGB,0.4222059899058117,0.789345238095238,0.49411764705882355,0.6950000000000001
S1,GMR-ModelAgnostic,5,3,KNN,0.5484124962332007,0.8093452380952381,0.5866666666666667,0.7344047619047619
S1,GMR-ModelAgnostic,5,3,RF,0.6568619081226437,0.8463095238095238,0.5714285714285714,0.7407142857142857
S1,GMR-ModelAgnostic,5,3,LR,0.18560113814248838,0.5788690476190476,0.34177215189873417,0.5989285714285715
S1,GMR-ModelAgnostic,5,3,DT,0.37142491053696125,0.7238095238095239,0.5411764705882353,0.7238095238095239
S1,GMR-ModelAgnostic,5,3,XGB,0.6338974818639808,0.8342261904761904,0.5822784810126582,0.7388095238095238
S1,GMR-ModelAgnostic,10,42,KNN,0.5845083252205283,0.8475269246110888,0.625,0.8031511767052254
S1,GMR-ModelAgnostic,10,42,RF,0.6152133395655621,0.8664738731551654,0.5652173913043478,0.7596729158356601
S1,GMR-ModelAgnostic,10,42,LR,0.11864087767087168,0.6309333865177503,0.22580645161290322,0.6048065416832868
S1,GMR-ModelAgnostic,10,42,DT,0.33540681941187084,0.7550857598723573,0.5416666666666666,0.7550857598723574
S1,GMR-ModelAgnostic,10,42,XGB,0.6030156698984728,0.8719585161547666,0.5,0.7310530514559235
S1,GMR-ModelAgnostic,10,0,KNN,0.306781143566278,0.8042481053051456,0.2222222222222222,0.5663143199042681
S1,GMR-ModelAgnostic,10,0,RF,0.4112350380125441,0.889708815317112,0.3157894736842105,0.6097925807738332
S1,GMR-ModelAgnostic,10,0,LR,0.12129223485641498,0.6416035101715197,0.24193548387096775,0.6288392500997209
S1,GMR-ModelAgnostic,10,0,DT,0.2259235283505428,0.6532708416433985,0.4,0.6532708416433985
S1,GMR-ModelAgnostic,10,0,XGB,0.3603893224830997,0.8783406461906662,0.3076923076923077,0.6074990027921819
S1,GMR-ModelAgnostic,10,1,KNN,0.2565282756420815,0.7860989230155565,0.2608695652173913,0.5914439569206222
S1,GMR-ModelAgnostic,10,1,RF,0.28410152015110446,0.7896888711607499,0.23809523809523808,0.5765855604307938
S1,GMR-ModelAgnostic,10,1,LR,0.12939714242838654,0.6617471080973275,0.23333333333333334,0.6139808536098923
S1,GMR-ModelAgnostic,10,1,DT,0.1551581574358049,0.6131830873554049,0.2978723404255319,0.6131830873554049
S1,GMR-ModelAgnostic,10,1,XGB,0.28232938019957093,0.7954726765057838,0.3404255319148936,0.6372157957718388
S1,GMR-ModelAgnostic,10,2,KNN,0.2430159773300007,0.709114479457519,0.358974358974359,0.6315317112086158
S1,GMR-ModelAgnostic,10,2,RF,0.2562688194570558,0.7177901874750698,0.3333333333333333,0.6246509772636617
S1,GMR-ModelAgnostic,10,2,LR,0.11911346884764991,0.6201635420821698,0.2518518518518518,0.6516753091344236
S1,GMR-ModelAgnostic,10,2,DT,0.16783931685609477,0.620063821300359,0.3181818181818182,0.6200638213003591
S1,GMR-ModelAgnostic,10,2,XGB,0.2521482863461843,0.7310530514559235,0.4090909090909091,0.668129238133227
S1,GMR-ModelAgnostic,10,3,KNN,0.3102677174764302,0.7349421619465496,0.3888888888888889,0.63841244515357
S1,GMR-ModelAgnostic,10,3,RF,0.3924161045996565,0.748504188272836,0.34285714285714286,0.6166733147187874
S1,GMR-ModelAgnostic,10,3,LR,0.11312363994442835,0.6124850418827283,0.2733812949640288,0.6905664140406861
S1,GMR-ModelAgnostic,10,3,DT,0.2086937531452662,0.6486836856800957,0.38095238095238093,0.6486836856800957
S1,GMR-ModelAgnostic,10,3,XGB,0.39039083416527415,0.7378340646190666,0.2631578947368421,0.5857598723573993
S1,GMR-ModelAgnostic,20,42,KNN,0.3437606927195531,0.7889374090247452,0.375,0.6228165938864629
S1,GMR-ModelAgnostic,20,42,RF,0.44882390060397803,0.8709970887918486,0.375,0.6228165938864629
